"GISAHAFG","Food and Agriculture Organization of the UN (FAO) 1961-2004; merged (FAO, Wine Institute, IWSR) 2005-2015"
"GISAHAGO","Food and Agriculture Organization of the UN (FAO) 1961-1999; merged (GlobalData, OIV, IWSR) 2000-2016"
"GISAHALB","Food and Agriculture Organization of the UN (FAO) 1962-1999; merged (GlobalData, OIV, IWSR) 2000-2016"
"GISAHAND","Average of France and Spain consumption 2000-2016"
"GISAHARE","Food and Agriculture Organization of the UN (FAO) 1972-1999; IWSR 2000-2016"
"GISAHARG","Food and Agriculture Organization of the UN (FAO) 1961-1979; World Drink Trends (WDT) 1980-1999; WHO Global Surveys on Alcohol and Health 2000-2015"
"GISAHARM","Food and Agriculture Organization of the UN (FAO) 1990-1999; merged (GlobalData, OIV, IWSR) 2000-2016"
"GISAHATG","Food and Agriculture Organization of the UN (FAO) 1962-1999; merged (GlobalData, Wine Institute, IWSR) 2000-2015"
"GISAHAUS","World Drink Trends (WDT) 1961-1989; National Drug Research Institute (NDRI) 1990-1999; Australian Bureau of Statistics 2000-2016"
"GISAHAUT","Food and Agriculture Organization of the UN (FAO) 1960-1962; World Dink Trends (WDT) 1963-1999; Handbook on Alcohol (Anton Proksch Institute) 2000-2015"
"GISAHAZE","Food and Agriculture Organization of the UN (FAO) 1990-1999; merged (GlobalData, OIV, IWSR) 2000-2010; Statistical Yearbook 2011-2016"
"GISAHBDI","Food and Agriculture Organization of the UN (FAO) 1961-1999; merged (FAO, GlobalData, Wine Institute) 2000-2011"
"GISAHBEL","World Drink Trend (WDT) 1963-1999; Food and Agriculture Organization of the UN (FAO) 2000-2007; Belgium Tax Administration Department 2008-2015"
"GISAHBEN","Food and Agriculture Organization of the UN (FAO) 1961-1999; merged (FAO, GlobalData, Wine Institute) 2000-2015"
"GISAHBFA","Food and Agriculture Organization of the UN (FAO) 1961-1999; merged (FAO, GlobalData, Wine Institute) 2000-2015"
"GISAHBGD","Food and Agriculture Organization of the UN (FAO) 1961-2015"
"GISAHBGR","World Drink Trends (WDT) 1963-1999; merged (GlobalData, OIV, IWSR) 2000-2016"
"GISAHBHR","Food and Agriculture Organization of the UN (FAO) 1970-1999; merged (GlobalData, Wine Institute, IWSR) 2000-2016"
"GISAHBHS","Food and Agriculture Organization of the UN (FAO) 1961-1999; merged (GlobalData, Wine Institute, IWSR) 2000-2015"
"GISAHBIH","Food and Agriculture Organization of the UN (FAO) 1987-1999; merged (GlobalData, OIV, IWSR) 2000-2016"
"GISAHBLR","Food and Agriculture Organization of the UN (FAO) 1980-1999; WHO Global Survey on Alcohol and Health (2012) 2000-2010; Yearbook of Statistics 2011-2016"
"GISAHBLZ","Food and Agriculture Organization of the UN (FAO) 1961-1999; merged (GlobalData, Wine Institute, IWSR) 2000-2015"
"GISAHBOL","Food and Agriculture Organization of the UN (FAO) 1961-1999; merged (GlobalData, OIV, IWSR) 2000-2016"
